단어,TF-IDF_합계
에디션,3.8465893641962046
리커버,2.758349749912828
기념,2.529547764930428
위한,2.4053803062917964
해커스,2.402270103457501
토익,2.1791373503150737
스페셜,1.970386974196085
나는,1.9474675391599738
내가,1.8813788798504307
대하여,1.7555035012666005
트렌드,1.682478414293234
않는다,1.5871409754805645
싶은,1.5651568808257454
lc,1.5337138512486872
rc,1.5337138512486872
2025,1.469004664044348
2026,1.43562052838768
필사,1.4176002107993457
흔한남매,1.3601862292872233
기술,1.3601862292872233
어떻게,1.354375955871733
일본어,1.3103622866784341
30만,1.2919076219423988
너를,1.2901654142822292
돈의,1.2897675218885338
없는,1.2763986964335257
초역,1.2694694516405276
부처의,1.2694694516405276
voca,1.2643965229035747
국민이,1.242455785097592
